"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"a",3.283,0,0,3.283,0,0,3.283,0,0,3.283,0,0,3.283,0,0
"2",1,2,"f",27.607,5.031,0,27.607,5.031,0,27.607,5.031,0,27.607,5.031,0,27.607,5.031,0
"3",1,3,"t",38.009,9.551,0,6.595,3.67,0,6.595,3.67,0,35.698,9.551,0,35.698,9.551,0
"4",1,4,"a",4.453,0,0,4.453,0,0,4.453,0,0,4.453,0,0,4.453,0,0
"5",1,5,"f",17.032,13.904,0,4.385,6.833,0,4.385,6.833,0,4.385,6.833,0,4.385,6.833,0
"6",1,6,"t",28.725,20.701,0,9.724,2.243,0,9.724,2.243,0,22.029,10.91,0,22.029,10.91,0
"7",1,7,"a",5.303,0,0,5.303,0,0,5.303,0,0,5.303,0,0,5.303,0,0
"8",1,8,"f",22.607,11.115,0,15.639,7.105,0,15.639,7.105,0,15.639,7.105,0,15.639,7.105,0
"9",1,9,"t",34.028,13.459,0,6.255,4.997,0,6.255,4.997,0,6.255,4.997,0,6.255,4.997,0
"10",1,10,"a",4.861,0,0,4.861,0,0,4.861,0,0,4.861,0,0,4.861,0,0
"11",1,11,"f",33.352,5.235,0,27.879,5.235,0,27.879,5.235,0,27.879,5.235,0,27.879,5.235,0
"12",1,12,"t",27.275,22.326,0,16.217,11.457,0,16.217,11.457,0,16.217,11.457,0,16.217,11.457,0
"13",1,13,"a",8.43,6.833,0,3.739,6.833,0,3.739,6.833,0,3.739,6.833,0,3.739,6.833,0
"14",1,14,"f",24.307,7.001,0,20.908,4.52,0,20.908,4.52,0,20.908,4.52,0,20.908,4.52,0
"15",1,15,"t",25.394,21.927,0,15.197,9.145,0,15.197,9.145,0,15.197,9.145,0,15.197,9.145,0
"16",1,16,"a",3.807,0,0,3.807,0,0,3.807,0,0,3.807,0,0,3.807,0,0
"17",1,17,"f",13.767,17.575,0,5.405,3.433,0,5.405,3.433,0,5.405,3.433,0,5.405,3.433,0
"18",1,18,"t",27.683,18.868,0,5.813,14.449,0,5.813,14.449,0,5.813,14.449,0,5.813,14.449,0
