"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"a",3.865,0,0,3.865,0,0,3.865,0,0,3.865,0,0,3.865,0,0
"2",1,2,"f",32.639,0,0,32.639,0,0,32.639,0,0,32.639,0,0,32.639,0,0
"3",1,3,"t",46.17,1.665,0,36.991,1.665,0,36.991,1.665,0,36.991,1.665,0,36.991,1.665,0
"4",1,4,"a",3.977,0,0,3.977,0,0,3.977,0,0,3.977,0,0,3.977,0,0
"5",1,5,"f",31.109,0,0,31.109,0,0,31.109,0,0,31.109,0,0,31.109,0,0
"6",1,6,"t",43.892,6.391,0,42.703,6.391,0,42.703,6.391,0,42.703,6.391,0,42.703,6.391,0
"7",1,7,"a",5.711,2.003,0,5.711,2.003,0,5.711,2.003,0,5.711,2.003,0,5.711,2.003,0
"8",1,8,"f",32.402,1.767,0,14.077,1.767,0,14.077,1.767,0,14.077,1.767,0,14.077,1.767,0
"9",1,9,"t",40.899,5.678,0,19.991,5.678,0,19.991,5.678,0,19.991,5.678,0,19.991,5.678,0
"10",1,10,"a",4.623,0,0,4.623,0,0,4.623,0,0,4.623,0,0,4.623,0,0
"11",1,11,"f",38.963,0,0,38.963,0,0,38.963,0,0,38.963,0,0,38.963,0,0
"12",1,12,"t",50.421,0,0,50.421,0,0,50.421,0,0,50.421,0,0,50.421,0,0
"13",1,13,"a",12.822,3.228,0,12.822,3.228,0,12.822,3.228,0,12.822,3.228,0,12.822,3.228,0
"14",1,14,"f",17.636,12.746,0,6.35,3.194,0,6.35,3.194,0,10.667,6.219,0,10.667,6.219,0
"15",1,15,"t",22.912,24.782,0,9.349,2.039,0,9.349,2.039,0,12.951,9.415,0,12.951,9.415,0
"16",1,16,"a",2.957,1.529,0,2.957,1.529,0,2.957,1.529,0,2.957,1.529,0,2.957,1.529,0
"17",1,17,"f",20.365,10.131,0,20.365,10.131,0,20.365,10.131,0,20.365,10.131,0,20.365,10.131,0
"18",1,18,"t",8.701,37.425,0,5.405,21.385,0,5.405,21.385,0,5.405,21.385,0,5.405,21.385,0
