"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"a",3.66,0,0,3.66,0,0,3.66,0,0,3.66,0,0,3.66,0,0
"2",1,2,"f",32.129,0,0,32.129,0,0,32.129,0,0,32.129,0,0,32.129,0,0
"3",1,3,"t",46.476,1.393,0,46.476,1.393,0,46.476,1.393,0,46.476,1.393,0,46.476,1.393,0
"4",1,4,"a",4.487,0,0,4.487,0,0,4.487,0,0,4.487,0,0,4.487,0,0
"5",1,5,"f",39.745,0,0,39.745,0,0,39.745,0,0,39.745,0,0,39.745,0,0
"6",1,6,"t",53.683,2.786,0,11.355,1.937,0,11.355,1.937,0,11.355,1.937,0,11.355,1.937,0
"7",1,7,"a",8.668,2.447,0,2.991,2.447,0,2.991,2.447,0,2.991,2.447,0,2.991,2.447,0
"8",1,8,"f",31.991,1.698,0,31.991,1.698,0,31.991,1.698,0,31.991,1.698,0,31.991,1.698,0
"9",1,9,"t",40.489,8.7,0,15.706,5.336,0,15.706,5.336,0,15.706,5.336,0,15.706,5.336,0
"10",1,10,"a",4.895,0,0,4.895,0,0,4.895,0,0,4.895,0,0,4.895,0,0
"11",1,11,"f",23.73,8.192,0,20.807,5.881,0,20.807,5.881,0,20.807,5.881,0,20.807,5.881,0
"12",1,12,"t",35.458,14.719,0,6.289,6.289,0,6.289,6.289,0,6.289,6.289,0,6.289,6.289,0
"13",1,13,"a",12.578,4.52,0,9.417,4.52,0,9.417,4.52,0,9.417,4.52,0,9.417,4.52,0
"14",1,14,"f",25.736,6.595,0,19.175,6.595,0,19.175,6.595,0,19.175,6.595,0,19.175,6.595,0
"15",1,15,"t",40.832,6.391,0,27.029,6.391,0,27.029,6.391,0,27.029,6.391,0,27.029,6.391,0
"16",1,16,"a",4.691,0,0,4.691,0,0,4.691,0,0,4.691,0,0,4.691,0,0
"17",1,17,"f",30.529,7.818,0,13.157,5.847,0,13.157,5.847,0,13.157,5.847,0,13.157,5.847,0
"18",1,18,"t",39.648,6.663,0,29.001,6.663,0,29.001,6.663,0,29.001,6.663,0,29.001,6.663,0
