"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"f",48.994,0,0,48.994,0,0,48.994,0,0,48.994,0,0,48.994,0,0
"2",1,2,"f",33.15,8.636,0,33.15,8.636,0,33.15,8.636,0,33.15,8.636,0,33.15,8.636,0
"3",1,3,"f",42.5,3.162,0,42.5,3.162,0,42.5,3.162,0,42.5,3.162,0,42.5,3.162,0
"4",1,4,"f",40.596,5.474,0,40.596,5.474,0,40.596,5.474,0,40.596,5.474,0,40.596,5.474,0
"5",1,5,"f",30.865,6.569,0,30.865,6.569,0,30.865,6.569,0,30.865,6.569,0,30.865,6.569,0
"6",1,6,"f",13.362,1.19,0,7.752,6.8,0,7.752,6.8,0,7.752,6.8,0,7.752,6.8,0
"7",1,7,"f",15.13,2.754,0,15.13,2.754,0,15.13,2.754,0,15.13,2.754,0,15.13,2.754,0
"8",1,8,"f",15.504,5.814,0,15.504,5.814,0,15.504,5.814,0,15.504,5.814,0,15.504,5.814,0
"9",1,9,"t",19.652,8.942,0,19.652,8.942,0,19.652,8.942,0,19.652,8.942,0,19.652,8.942,0
"10",1,10,"t",38.114,19.55,0,38.114,19.55,0,38.114,19.55,0,38.114,19.55,0,38.114,19.55,0
"11",1,11,"t",7.31,4.93,0,7.31,4.93,0,7.31,4.93,0,7.31,4.93,0,7.31,4.93,0
"12",1,12,"t",7.48,0.992,0,7.48,0.992,0,7.48,0.992,0,7.48,0.992,0,7.48,0.992,0
