"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"f",39.508,7.446,0,39.508,7.446,NA,39.508,7.446,NA,39.508,7.446,NA,39.508,7.446,NA
"2",1,2,"f",26.554,19.584,0,36.89,9.248,NA,36.89,9.248,NA,36.89,9.248,NA,36.89,9.248,NA
"3",1,3,"f",16.485,5.703,0,16.485,5.703,NA,16.485,5.703,NA,16.485,5.703,NA,16.485,5.703,NA
"4",1,4,"f",31.892,13.396,3.978,42.432,2.856,NA,38.862,6.426,NA,38.862,6.426,NA,38.862,6.426,NA
"5",1,5,"f",27.302,18.054,0,33.184,12.172,NA,33.184,12.172,NA,33.184,12.172,NA,33.184,12.172,NA
"6",1,6,"f",7.072,4.352,0,7.072,4.352,NA,7.072,4.352,NA,7.072,4.352,NA,7.072,4.352,NA
"7",1,7,"f",22.78,22.202,0,22.78,22.202,NA,22.78,22.202,NA,22.78,22.202,NA,22.78,22.202,NA
"8",1,8,"f",32.096,10.098,0,38.25,3.944,NA,38.25,3.944,NA,38.25,3.944,NA,32.096,10.098,NA
"9",1,9,"t",28.784,19.448,0,41.228,7.004,NA,41.228,7.004,NA,28.784,19.448,NA,28.784,19.448,NA
"10",1,10,"t",12.308,35.53,0,19.38,28.458,NA,19.38,28.458,NA,19.38,28.458,NA,19.38,28.458,NA
"11",1,11,"t",24.14,22.372,0,34.544,11.968,NA,34.544,11.968,NA,34.544,11.968,NA,34.544,11.968,NA
"12",1,12,"t",18.972,20.536,0,33.218,6.29,NA,33.218,6.29,NA,33.218,6.29,NA,33.218,6.29,NA
"13",1,13,"t",30.464,14.586,0,34.85,10.2,NA,34.85,10.2,NA,34.85,10.2,NA,34.85,10.2,NA
"14",1,14,"t",21.726,18.522,0,34.57,5.678,NA,34.57,5.678,NA,34.57,5.678,NA,34.57,5.678,NA
