"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",NA,1,"f",43.326,2.982,0,43.326,2.982,0,43.326,2.982,0,43.326,2.982,0,43.326,2.982,0
"2",NA,2,"f",41.548,3.944,0,41.548,3.944,0,41.548,3.944,0,41.548,3.944,0,41.548,3.944,0
"3",NA,3,"f",25.942,9.146,0,25.942,9.146,0,25.942,9.146,0,25.942,9.146,0,25.942,9.146,0
"4",NA,4,"f",23.664,8.976,0,23.664,8.976,0,23.664,8.976,0,23.664,8.976,0,23.664,8.976,0
"5",NA,5,"f",11.39,9.962,0,15.436,5.916,0,11.39,9.962,0,11.39,9.962,0,11.39,9.962,0
"6",NA,6,"f",29.444,10.574,0,31.994,8.024,0,31.994,8.024,0,31.994,8.024,0,31.994,8.024,0
"7",NA,7,"f",20.428,8.568,0,25.154,3.842,0,20.428,8.568,0,20.428,8.568,0,20.428,8.568,0
"8",NA,8,"f",17.272,10.778,0,20.944,7.106,0,20.944,7.106,0,20.944,7.106,0,20.944,7.106,0
"9",NA,9,"t",4.862,5.338,0,4.862,5.338,0,4.862,5.338,0,4.862,5.338,0,4.862,5.338,0
"10",NA,10,"t",3.74,4.658,0,3.74,4.658,0,3.74,4.658,0,3.74,4.658,0,3.74,4.658,0
"11",NA,11,"t",6.188,4.318,0,6.188,4.318,0,6.188,4.318,0,6.188,4.318,0,6.188,4.318,0
"12",NA,12,"t",10.404,6.936,0,10.404,6.936,0,10.404,6.936,0,10.404,6.936,0,10.404,6.936,0
"13",NA,13,"t",3.094,3.264,0,3.094,3.264,0,3.094,3.264,0,3.094,3.264,0,3.094,3.264,0
"14",NA,14,"t",6.086,5.129,0,6.086,5.129,0,6.086,5.129,0,6.086,5.129,0,6.086,5.129,0
