"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"f",45.56,0,0,45.56,0,0,45.56,0,0,45.56,0,0,45.56,0,0
"2",1,2,"f",36.031,9.801,0,41.927,3.905,0,38.731,7.101,0,38.731,7.101,0,38.731,7.101,0
"3",1,3,"f",43.336,2.224,0,43.336,2.224,0,43.336,2.224,0,43.336,2.224,0,43.336,2.224,0
"4",1,4,"f",25.772,5.304,0,25.772,5.304,0,25.772,5.304,0,25.772,5.304,0,25.772,5.304,0
"5",1,5,"f",32.994,12.702,0,40.732,4.964,0,40.732,4.964,0,40.732,4.964,0,34.374,11.322,0
"6",1,6,"f",41.018,4.746,0,41.548,4.216,0,41.548,4.216,0,41.548,4.216,0,41.548,4.216,0
"7",1,7,"f",17.85,10.914,0,22.746,6.018,0,22.746,6.018,0,22.746,6.018,0,22.746,6.018,0
"8",1,8,"f",32.238,13.152,0,39.324,6.066,0,39.324,6.066,0,39.324,6.066,0,39.324,6.066,0
"9",1,9,"t",38.766,7.29,0,41.486,4.57,0,41.486,4.57,0,41.486,4.57,0,41.486,4.57,0
"10",1,10,"t",38.168,7.923,0,39.719,6.372,0,39.719,6.372,0,39.719,6.372,0,39.719,6.372,0
"11",1,11,"t",7.106,5.066,0,7.106,5.066,0,7.106,5.066,0,7.106,5.066,0,7.106,5.066,0
"12",1,12,"t",29.002,17.714,0,32.062,14.654,0,32.062,14.654,0,32.062,14.654,0,32.062,14.654,0
