"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"a",5.015,0,0,5.015,0,0,5.015,0,0,5.015,0,0,5.015,0,0
"2",1,2,"f",33.593,0,0,33.593,0,0,33.593,0,0,33.593,0,0,33.593,0,0
"3",1,3,"t",47.915,0,0,47.915,0,0,47.915,0,0,47.915,0,0,47.915,0,0
"4",1,4,"a",4.421,0,0,4.421,0,0,4.421,0,0,4.421,0,0,4.421,0,0
"5",1,5,"f",30.952,0.923,0,30.952,0.923,0,30.952,0.923,0,30.952,0.923,0,30.952,0.923,0
"6",1,6,"t",49.499,0,0,49.499,0,0,49.499,0,0,49.499,0,0,49.499,0,0
"7",1,7,"a",6.665,0,0,6.665,0,0,6.665,0,0,6.665,0,0,6.665,0,0
"8",1,8,"f",39.269,0,0,39.269,0,0,39.269,0,0,39.269,0,0,39.269,0,0
"9",1,9,"t",45.274,2.309,0,44.945,2.309,0,44.945,2.309,0,44.945,2.309,0,44.945,2.309,0
"10",1,10,"a",3.827,0,0,3.827,0,0,3.827,0,0,3.827,0,0,3.827,0,0
"11",1,11,"f",31.019,0,0,31.019,0,0,31.019,0,0,31.019,0,0,31.019,0,0
"12",1,12,"t",35.438,13.131,0,19.733,5.147,0,19.733,5.147,0,19.733,5.147,0,19.733,5.147,0
