"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"a",5.411,0,0,5.411,0,0,5.411,0,0,5.411,0,0,5.411,0,0
"2",1,2,"f",29.896,3.761,0,11.681,3.761,0,11.681,3.761,0,11.681,3.761,0,11.681,3.761,0
"3",1,3,"t",38.474,10.425,0,22.967,2.639,0,22.967,2.639,0,22.967,2.639,0,30.424,8.05,0
"4",1,4,"a",3.563,0,0,3.563,0,0,3.563,0,0,3.563,0,0,3.563,0,0
"5",1,5,"f",26.198,6.267,0,17.555,1.781,0,23.691,6.267,0,23.691,6.267,0,23.691,6.267,0
"6",1,6,"t",36.689,11.214,0,7.391,1.847,0,14.979,5.343,0,14.979,5.343,0,14.979,5.343,0
"7",1,7,"a",8.051,0,0,8.051,0,0,8.051,0,0,8.051,0,0,8.051,0,0
"8",1,8,"f",26.527,7.52,0,17.224,3.298,0,17.224,3.298,0,17.224,3.298,0,17.224,3.298,0
"9",1,9,"t",36.824,13.791,0,31.018,5.674,0,31.018,5.674,0,31.018,5.674,0,31.018,5.674,0
"10",1,10,"a",4.355,0,0,4.355,0,0,4.355,0,0,4.355,0,0,4.355,0,0
"11",1,11,"f",28.31,11.811,0,15.046,4.024,0,15.046,4.024,0,15.046,4.024,0,15.046,4.024,0
"12",1,12,"t",48.837,3.496,0,34.253,2.639,0,34.253,2.639,0,34.253,2.639,0,34.253,2.639,0
