"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"a",4.188,0,0,4.188,0,0,4.188,0,0,4.188,0,0,4.188,0,0
"2",1,2,"f",20.583,12.488,0,5.75,3.052,0,5.75,3.052,0,5.75,3.052,0,5.75,3.052,0
"3",1,3,"t",24.061,24.984,0,6.174,6.457,0,6.174,6.457,0,18.17,18.595,0,18.17,18.595,0
"4",1,4,"a",4.046,0,0,4.046,0,0,4.046,0,0,4.046,0,0,4.046,0,0
"5",1,5,"f",26.409,6.103,0,16.328,3.619,0,16.328,3.619,0,16.328,3.619,0,16.328,3.619,0
"6",1,6,"t",23.706,28.25,0,8.945,5.749,0,8.945,5.749,0,8.945,5.749,0,8.945,5.749,0
"7",1,7,"a",4.117,0,0,4.117,0,0,4.117,0,0,4.117,0,0,4.117,0,0
"8",1,8,"f",19.803,15.33,0,10.933,2.342,0,10.933,2.342,0,15.687,8.161,0,17.674,12.988,0
"9",1,9,"t",8.445,39.401,0,4.33,5.963,0,4.33,5.963,0,4.33,5.963,0,4.33,5.963,0
"10",1,10,"a",3.762,0,0,3.762,0,0,3.762,0,0,3.762,0,0,3.762,0,0
"11",1,11,"f",9.298,30.882,0,2.626,7.454,0,2.626,7.454,0,2.626,7.454,0,2.626,7.454,0
"12",1,12,"t",10.434,45.863,0,9.157,10.009,0,9.157,10.009,0,9.157,10.009,0,9.157,10.009,0
