"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"a",2.695,0,0,2.695,0,0,2.695,0,0,2.695,0,0,2.695,0,0
"2",1,2,"f",32.537,0,0,32.537,0,0,32.537,0,0,32.537,0,0,32.537,0,0
"3",1,3,"t",48.483,0,0,48.483,0,0,48.483,0,0,48.483,0,0,48.483,0,0
"4",1,4,"a",3.603,0,0,3.603,0,0,3.603,0,0,3.603,0,0,3.603,0,0
"5",1,5,"f",24.545,6.389,0,13.089,4.385,0,13.089,4.385,0,13.089,4.385,0,13.089,4.385,0
"6",1,6,"t",21.209,28.214,0,8.227,3.501,0,8.227,3.501,0,8.227,3.501,0,8.227,3.501,0
"7",1,7,"a",6.017,0,0,6.017,0,0,6.017,0,0,6.017,0,0,6.017,0,0
"8",1,8,"f",22.368,11.658,0,12.273,3.433,0,12.273,3.433,0,12.273,3.433,0,12.273,3.433,0
"9",1,9,"t",24.135,23.556,0,9.111,3.704,0,9.111,3.704,0,9.111,3.704,0,13.666,9.721,0
"10",1,10,"a",2.137,1.563,0,2.137,1.563,0,2.137,1.563,0,2.137,1.563,0,2.137,1.563,0
"11",1,11,"f",22.033,17.678,0,10.849,12.001,0,10.849,12.001,0,10.849,12.001,0,10.849,12.001,0
"12",1,12,"t",27.569,22.436,0,9.757,1.665,0,11.082,4.248,0,11.082,4.248,0,14.855,19.853,0
"13",1,13,"a",13.36,3.568,0,8.873,3.568,0,8.873,3.568,0,8.873,3.568,0,8.873,3.568,0
"14",1,14,"f",15.944,16.42,0,6.459,10.913,0,6.459,10.913,0,6.459,10.913,0,6.459,10.913,0
"15",1,15,"t",22.163,25.052,0,4.011,4.452,0,4.011,4.452,0,4.011,4.452,0,10.3,12.475,0
"16",1,16,"a",2.889,1.087,0,2.889,1.087,0,2.889,1.087,0,2.889,1.087,0,2.889,1.087,0
"17",1,17,"f",6.662,24.511,0,3.535,9.621,0,3.535,9.621,0,3.535,9.621,0,3.535,9.621,0
"18",1,18,"t",9.653,36.47,0,5.065,8.635,0,5.065,8.635,0,5.065,8.635,0,5.065,8.635,0
