"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"f",25.744,20.258,0,41.452,4.55,NA,41.452,4.55,NA,41.452,4.55,NA,41.452,4.55,NA
"2",1,2,"f",34.612,10.676,0,38.624,6.664,NA,38.624,6.664,NA,38.624,6.664,NA,38.624,6.664,NA
"3",1,3,"f",28.696,17.34,0,38.488,7.548,NA,38.488,7.548,NA,38.488,7.548,NA,35.088,10.948,NA
"4",1,4,"f",17.666,27.588,0,38.012,7.242,NA,38.012,7.242,NA,38.012,7.242,NA,38.012,7.242,NA
"5",1,5,"f",20.264,25.5,0,39.882,5.882,NA,39.882,5.882,NA,39.882,5.882,NA,39.882,5.882,NA
"6",1,6,"f",9.248,26.35,0,11.628,23.97,NA,11.628,23.97,NA,11.628,23.97,NA,11.628,23.97,NA
"7",1,7,"f",8.769,10.101,0,11.9,6.97,NA,11.9,6.97,NA,11.9,6.97,NA,11.9,6.97,NA
"8",1,8,"f",16.592,24.718,0,31.824,9.486,NA,31.824,9.486,NA,31.824,9.486,NA,31.824,9.486,NA
"9",1,9,"t",6.494,2.57,0,6.494,2.57,NA,6.494,2.57,NA,6.494,2.57,NA,6.494,2.57,NA
"10",1,10,"t",5.95,3.284,0,5.95,3.284,NA,5.95,3.284,NA,5.95,3.284,NA,5.95,3.284,NA
"11",1,11,"t",4.794,4.95,0,4.794,4.95,NA,4.794,4.95,NA,4.794,4.95,NA,4.794,4.95,NA
"12",1,12,"t",11.22,11.492,0,17.816,4.896,NA,17.816,4.896,NA,17.816,4.896,NA,17.816,4.896,NA
"13",1,13,"t",26.404,8.858,16.15,29.06,6.202,NA,29.06,6.202,NA,26.404,8.858,NA,26.404,8.858,NA
"14",1,14,"t",4.27,4.407,0,4.27,4.407,NA,4.27,4.407,NA,4.27,4.407,NA,4.27,4.407,NA
