"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"a",4.999,0,0,4.999,0,0,4.999,0,0,4.999,0,0,4.999,0,0
"2",1,2,"f",32.499,0,0,32.499,0,0,32.499,0,0,32.499,0,0,32.499,0,0
"3",1,3,"t",45.998,1.399,0,45.998,1.399,0,45.998,1.399,0,45.998,1.399,0,45.998,1.399,0
"4",1,4,"a",4.099,0,0,4.099,0,0,4.099,0,0,4.099,0,0,4.099,0,0
"5",1,5,"f",31.098,0.799,0,31.098,0.799,0,31.098,0.799,0,31.098,0.799,0,31.098,0.799,0
"6",1,6,"t",48.997,4.398,0,11.899,1.599,0,15.998,4.398,0,15.998,4.398,0,15.998,4.398,0
"7",1,7,"a",19.697,6.498,0,7.399,4.299,0,7.399,4.299,0,7.399,4.299,0,7.399,4.299,0
"8",1,8,"f",32.798,0.999,0,32.798,0.999,0,32.798,0.999,0,32.798,0.999,0,32.798,0.999,0
"9",1,9,"t",30.095,17.396,0,10.899,3.399,0,10.899,3.399,0,10.899,3.399,0,10.899,3.399,0
"10",1,10,"a",3.799,0,0,3.799,0,0,3.799,0,0,3.799,0,0,3.799,0,0
"11",1,11,"f",36.697,2.898,0,36.697,2.898,0,36.697,2.898,0,36.697,2.898,0,36.697,2.898,0
"12",1,12,"t",36.997,11.498,0,10.799,3.699,0,10.799,3.699,0,10.799,3.699,0,10.799,3.699,0
"13",1,13,"a",13.199,0,0,13.199,0,0,13.199,0,0,13.199,0,0,13.199,0,0
"14",1,14,"f",27.698,5.198,0,26.099,3.199,0,26.099,3.199,0,26.099,3.199,0,26.099,3.199,0
"15",1,15,"t",42.398,5.299,0,16.199,5.299,0,16.199,5.299,0,16.199,5.299,0,16.199,5.299,0
"16",1,16,"a",3.799,0,0,3.799,0,0,3.799,0,0,3.799,0,0,3.799,0,0
"17",1,17,"f",24.696,6.597,0,9.399,1.799,0,22.597,6.597,0,22.597,6.597,0,22.597,6.597,0
"18",1,18,"t",29.194,16.373,0,6.599,3.199,0,6.599,3.199,0,6.599,3.199,0,6.599,3.199,0
