"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"a",5.133,0,0,5.133,0,0,5.133,0,0,5.133,0,0,5.133,0,0
"2",1,2,"f",28.319,2.99,0,27.606,2.99,0,27.606,2.99,0,27.606,2.99,0,27.606,2.99,0
"3",1,3,"t",27.973,20.766,0,12.034,7.138,0,12.034,7.138,0,12.034,7.138,0,12.034,7.138,0
"4",1,4,"a",3.603,0,0,3.603,0,0,3.603,0,0,3.603,0,0,3.603,0,0
"5",1,5,"f",24.509,11.386,1.767,21.282,4.146,0,21.282,4.146,0,21.282,4.146,0,21.282,4.146,0
"6",1,6,"t",40.043,14.612,0,6.799,2.379,0,6.799,2.379,0,15.705,6.695,0,15.705,6.695,0
"7",1,7,"a",3.399,0,0,3.399,0,0,3.399,0,0,3.399,0,0,3.399,0,0
"8",1,8,"f",17.368,15.295,0,9.689,4.113,0,9.689,4.113,0,9.689,4.113,0,9.689,4.113,0
"9",1,9,"t",17.504,29.302,0,6.119,1.733,0,7.546,3.908,0,11.523,9.551,0,11.523,9.551,0
"10",1,10,"a",3.195,0,0,3.195,0,0,3.195,0,0,3.195,0,0,3.195,0,0
"11",1,11,"f",20.551,13.902,0,8.626,1.529,0,14.915,6.696,0,14.915,6.696,0,14.915,6.696,0
"12",1,12,"t",40.326,7.069,0,8.504,3.705,0,8.504,3.705,0,8.504,3.705,0,8.504,3.705,0
