"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1","B",1,"f",44.964,1.17,0,44.964,1.17,0,44.964,1.17,0,44.964,1.17,0,44.964,1.17,0
"2","B",2,"f",46.002,0,0,46.002,0,0,46.002,0,0,46.002,0,0,46.002,0,0
"3","B",3,"f",44.352,1.518,0,44.352,1.518,0,44.352,1.518,0,44.352,1.518,0,44.352,1.518,0
"4","B",4,"f",46.134,0,0,46.134,0,0,46.134,0,0,46.134,0,0,46.134,0,0
"5","B",5,"f",40.778,5.092,0,43.626,2.244,0,40.778,5.092,0,40.778,5.092,0,40.778,5.092,0
"6","B",6,"f",40.854,5.412,0,40.854,5.412,0,40.854,5.412,0,40.854,5.412,0,40.854,5.412,0
"7","B",7,"f",39.138,6.798,0,41.184,4.752,0,41.184,4.752,0,41.184,4.752,0,41.184,4.752,0
"8","B",8,"f",42.296,3.498,0,42.296,3.498,0,42.296,3.498,0,42.296,3.498,0,42.296,3.498,0
"9","B",9,"t",13.2,4.224,0,13.2,4.224,0,13.2,4.224,0,13.2,4.224,0,13.2,4.224,0
"10","B",10,"t",46.2,0.99,0,46.2,0.99,0,46.2,0.99,0,46.2,0.99,0,46.2,0.99,0
"11","B",11,"t",42.834,3.102,0,42.834,3.102,0,42.834,3.102,0,42.834,3.102,0,42.834,3.102,0
"12","B",12,"t",46.332,2.178,0,46.332,2.178,0,46.332,2.178,0,46.332,2.178,0,46.332,2.178,0
