"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"a",5.676,0,0,5.676,0,0,5.676,0,0,5.676,0,0,5.676,0,0
"2",1,2,"f",29.83,1.517,0,25.409,1.517,0,25.409,1.517,0,25.409,1.517,0,25.409,1.517,0
"3",1,3,"t",47.42,0,0,47.42,0,0,47.42,0,0,47.42,0,0,47.42,0,0
"4",1,4,"a",4.883,0,0,4.883,0,0,4.883,0,0,4.883,0,0,4.883,0,0
"5",1,5,"f",38.51,0,0,38.51,0,0,38.51,0,0,38.51,0,0,38.51,0,0
"6",1,6,"t",46.658,4.98,0,17.257,3.793,0,17.257,3.793,0,17.257,3.793,0,17.257,3.793,0
"7",1,7,"a",4.784,0,0,4.784,0,0,4.784,0,0,4.784,0,0,4.784,0,0
"8",1,8,"f",25.342,6.632,0,23.726,6.632,0,23.726,6.632,0,23.726,6.632,0,23.726,6.632,0
"9",1,9,"t",25.207,21.94,0,3.959,1.847,0,7.027,5.938,0,7.027,5.938,0,7.027,5.938,0
"10",1,10,"a",4.553,0,0,4.553,0,0,4.553,0,0,4.553,0,0,4.553,0,0
"11",1,11,"f",23.391,10.823,0,12.737,5.048,0,12.737,5.048,0,12.737,5.048,0,12.737,5.048,0
"12",1,12,"t",29.135,18.18,0,4.223,7.721,0,4.223,7.721,0,4.223,7.721,0,4.223,7.721,0
