"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"f",41.208,4.998,0,41.208,4.998,NA,41.208,4.998,NA,41.208,4.998,NA,41.208,4.998,NA
"2",1,2,"f",45.628,0,1.98,45.628,0,NA,45.628,0,NA,45.628,0,NA,45.628,0,NA
"3",1,3,"f",43.52,2.21,0,43.52,2.21,NA,43.52,2.21,NA,43.52,2.21,NA,43.52,2.21,NA
"4",1,4,"f",11.356,3.094,0,11.356,3.094,NA,11.356,3.094,NA,11.356,3.094,NA,11.356,3.094,NA
"5",1,5,"f",10.608,4.216,0,10.608,4.216,NA,10.608,4.216,NA,10.608,4.216,NA,10.608,4.216,NA
"6",1,6,"f",40.494,5.508,0,40.494,5.508,NA,40.494,5.508,NA,40.494,5.508,NA,40.494,5.508,NA
"7",1,7,"f",41.638,4.636,0,41.638,4.636,NA,41.638,4.636,NA,41.638,4.636,NA,41.638,4.636,NA
"8",1,8,"f",33.626,4.93,0,33.626,4.93,NA,33.626,4.93,NA,33.626,4.93,NA,33.626,4.93,NA
"9",1,9,"t",15.601,7.111,0,15.601,7.111,NA,15.601,7.111,NA,15.601,7.111,NA,15.601,7.111,NA
"10",1,10,"t",7.208,0,7.208,7.208,0,NA,7.208,0,NA,7.208,0,NA,7.208,0,NA
"11",1,11,"t",9.554,1.598,5.508,9.554,1.598,NA,9.554,1.598,NA,9.554,1.598,NA,9.554,1.598,NA
"12",1,12,"t",5.746,3.944,0,5.746,3.944,NA,5.746,3.944,NA,5.746,3.944,NA,5.746,3.944,NA
"13",1,13,"t",7.65,5.546,0,7.65,5.546,NA,7.65,5.546,NA,7.65,5.546,NA,7.65,5.546,NA
"14",1,14,"t",12.104,9.623,0,17.443,4.284,NA,17.443,4.284,NA,12.104,9.623,NA,12.104,9.623,NA
