"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"a",6.297,0,0,6.297,0,0,6.297,0,0,6.297,0,0,6.297,0,0
"2",1,2,"f",18.89,13.252,0,12.124,8.929,0,12.124,8.929,0,12.124,8.929,0,12.124,8.929,0
"3",1,3,"t",40.087,7.893,0,10.057,2.49,0,10.057,2.49,0,18.093,5.356,0,18.093,5.356,0
"4",1,4,"a",4.746,0,0,4.746,0,0,4.746,0,0,4.746,0,0,4.746,0,0
"5",1,5,"f",19.879,11.138,0,7.378,11.138,0,7.378,11.138,0,7.378,11.138,0,7.378,11.138,0
"6",1,6,"t",42.579,7.565,0,17.154,5.545,0,17.154,5.545,0,17.154,5.545,0,17.154,5.545,0
"7",1,7,"a",10.01,0,0,10.01,0,0,10.01,0,0,10.01,0,0,10.01,0,0
"8",1,8,"f",34.074,0,0,34.074,0,0,34.074,0,0,34.074,0,0,34.074,0,0
"9",1,9,"t",25.068,22.578,0,9.493,13.371,0,9.493,13.371,0,9.493,13.371,0,9.493,13.371,0
"10",1,10,"a",4.652,0,0,4.652,0,0,4.652,0,0,4.652,0,0,4.652,0,0
"11",1,11,"f",16.542,23.075,0,8.976,16.12,0,8.976,16.12,0,8.976,16.12,0,8.976,16.12,0
"12",1,12,"t",31.722,17.434,0,4.605,4.511,0,4.605,4.511,0,4.605,4.511,0,4.605,4.511,0
