"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"f",46.125,0,2.675,46.125,0,NA,46.125,0,NA,46.125,0,NA,46.125,0,NA
"2",1,2,"f",27.36,6.39,0,27.36,6.39,NA,27.36,6.39,NA,27.36,6.39,NA,27.36,6.39,NA
"3",1,3,"f",40.85,4.915,0,40.85,4.915,NA,40.85,4.915,NA,40.85,4.915,NA,40.85,4.915,NA
"4",1,4,"f",44.695,1.34,0,44.695,1.34,NA,44.695,1.34,NA,44.695,1.34,NA,44.695,1.34,NA
"5",1,5,"f",40.805,5.005,2.25,40.805,5.005,NA,40.805,5.005,NA,40.805,5.005,NA,40.805,5.005,NA
"6",1,6,"f",35.78,9.67,0,38.57,6.88,NA,38.57,6.88,NA,38.57,6.88,NA,38.57,6.88,NA
"7",1,7,"f",27.985,6.87,0,27.985,6.87,NA,27.985,6.87,NA,27.985,6.87,NA,27.985,6.87,NA
"8",1,8,"f",19.755,4.005,0,19.755,4.005,NA,19.755,4.005,NA,19.755,4.005,NA,19.755,4.005,NA
"9",1,9,"t",8.01,2.95,0,8.01,2.95,NA,8.01,2.95,NA,8.01,2.95,NA,8.01,2.95,NA
"10",1,10,"t",33.61,12.382,0,41.137,4.855,NA,41.137,4.855,NA,33.61,12.382,NA,33.61,12.382,NA
"11",1,11,"t",4.095,3.14,0,4.095,3.14,NA,4.095,3.14,NA,4.095,3.14,NA,4.095,3.14,NA
"12",1,12,"t",5.14,3.645,0,5.14,3.645,NA,5.14,3.645,NA,5.14,3.645,NA,5.14,3.645,NA
