"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"f",37.5,8.625,0,42.625,3.5,0,40.25,5.875,0,37.5,8.625,0,37.5,8.625,0
"2",1,2,"f",43.625,2.25,0,43.625,2.25,0,43.625,2.25,0,43.625,2.25,0,43.625,2.25,0
"3",1,3,"f",35.625,2.375,0,35.625,2.375,0,35.625,2.375,0,35.625,2.375,0,35.625,2.375,0
"4",1,4,"f",35.625,2.375,0,35.625,2.375,0,35.625,2.375,0,35.625,2.375,0,35.625,2.375,0
"5",1,5,"f",30.791,6.334,0,30.791,6.334,0,30.791,6.334,0,30.791,6.334,0,30.791,6.334,0
"6",1,6,"f",9.875,2.375,0,9.875,2.375,0,9.875,2.375,0,9.875,2.375,0,9.875,2.375,0
"7",1,7,"f",12.875,2.125,0,12.875,2.125,0,12.875,2.125,0,12.875,2.125,0,12.875,2.125,0
"8",1,8,"t",11.75,2.875,0,11.75,2.875,0,11.75,2.875,0,11.75,2.875,0,11.75,2.875,0
"9",1,9,"t",22.25,7.75,0,22.25,7.75,0,22.25,7.75,0,22.25,7.75,0,22.25,7.75,0
"10",1,10,"t",10.375,1.625,0,10.375,1.625,0,10.375,1.625,0,10.375,1.625,0,10.375,1.625,0
"11",1,11,"t",8.5,1.192,0,8.5,1.192,0,8.5,1.192,0,8.5,1.192,0,8.5,1.192,0
