"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"f",31.95,9.764,0,31.95,9.764,0,31.95,9.764,0,31.95,9.764,0,31.95,9.764,0
"2",1,2,"f",18.261,21.21,0,28.001,11.47,0,28.001,11.47,0,28.001,11.47,0,28.001,11.47,0
"3",1,3,"f",7.564,4.536,0,7.564,4.536,0,7.564,4.536,0,7.564,4.536,0,7.564,4.536,0
"4",1,4,"f",15.373,4.509,0,15.373,4.509,0,15.373,4.509,0,15.373,4.509,0,15.373,4.509,0
"5",1,5,"f",11.705,15.252,0,19.172,7.785,0,19.172,7.785,0,19.172,7.785,0,19.172,7.785,0
"6",1,6,"f",3.127,6.539,0,3.127,6.539,0,3.127,6.539,0,3.127,6.539,0,3.127,6.539,0
"7",1,7,"f",6.928,4.514,0,6.928,4.514,0,6.928,4.514,0,6.928,4.514,0,6.928,4.514,0
"8",1,8,"f",24.052,13.865,0,30.107,7.81,0,30.107,7.81,0,30.107,7.81,0,30.107,7.81,0
"9",1,9,"t",22.509,12.15,0,29.997,4.662,0,29.997,4.662,0,27.386,7.273,0,22.509,12.15,0
"10",1,10,"t",10.57,9.763,0,14.509,5.824,0,14.509,5.824,0,14.509,5.824,0,14.509,5.824,0
"11",1,11,"t",7.936,5.113,0,7.936,5.113,0,7.936,5.113,0,7.936,5.113,0,7.936,5.113,0
"12",1,12,"t",4.99,4.34,0,4.99,4.34,0,4.99,4.34,0,4.99,4.34,0,4.99,4.34,0
"13",1,13,"t",24.611,10.11,0,27.562,7.159,0,27.562,7.159,0,27.562,7.159,0,27.562,7.159,0
"14",1,14,"t",25.506,8.038,0,25.506,8.038,0,25.506,8.038,0,25.506,8.038,0,25.506,8.038,0
