,child_id,video_onset,trial_type,absolute_onset,absolute_offset,trial_type_onset,trial_type_offset,relative_onset,relative_offset,fam_or_test,scene,trial_number
0,GcMVDV,2021-08-09 21:25:32.349,fam-barrier-jump,2021-08-09 21:25:38.049,2021-08-09 21:26:12.300,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,0 days 00:00:05.700000,0 days 00:00:39.951000,fam,barrier-jump,1
0,GcMVDV,2021-08-09 21:25:32.349,testA-barrier-jump,2021-08-09 21:26:15.156,2021-08-09 21:27:00.211,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,0 days 00:00:42.807000,0 days 00:01:27.862000,testA,barrier-jump,2
0,GcMVDV,2021-08-09 21:25:32.349,fam-pit,2021-08-09 21:27:05.672,2021-08-09 21:27:36.683,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,0 days 00:01:33.323000,0 days 00:02:04.334000,fam,pit,3
0,GcMVDV,2021-08-09 21:25:32.349,testB-pit,2021-08-09 21:27:39.421,2021-08-09 21:28:18.514,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,0 days 00:02:07.072000,0 days 00:02:46.165000,testB,pit,4
0,GcMVDV,2021-08-09 21:25:32.349,testB-pit-repeat-1,2021-08-09 21:28:52.076,2021-08-09 21:29:37.108,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,0 days 00:03:19.727000,0 days 00:04:04.759000,testB,pit-repeat-1,5
0,GcMVDV,2021-08-09 21:25:32.349,fam-barrier-around,2021-08-09 21:29:46.059,2021-08-09 21:30:23.846,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,0 days 00:04:13.710000,0 days 00:04:51.497000,fam,barrier-around,6
0,GcMVDV,2021-08-09 21:25:32.349,testB-barrier-around,2021-08-09 21:30:26.481,2021-08-09 21:31:11.529,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,0 days 00:04:54.132000,0 days 00:05:39.180000,testB,barrier-around,7
0,GcMVDV,2021-08-09 21:25:32.349,fam-pit-bridge,2021-08-09 21:31:16.895,2021-08-09 21:31:46.688,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,0 days 00:05:44.546000,0 days 00:06:14.339000,fam,pit-bridge,8
0,GcMVDV,2021-08-09 21:25:32.349,testA-pit-bridge,2021-08-09 21:31:49.497,2021-08-09 21:32:34.562,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,0 days 00:06:17.148000,0 days 00:07:02.213000,testA,pit-bridge,9
0,BdUV4B,2021-08-11 12:38:06.493,fam-pit,2021-08-11 12:38:11.540,2021-08-11 12:38:56.615,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,0 days 00:00:05.047000,0 days 00:00:50.122000,fam,pit,1
0,BdUV4B,2021-08-11 12:38:06.493,fam-pit,2021-08-11 12:39:01.226,2021-08-11 12:39:46.309,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,0 days 00:00:54.733000,0 days 00:01:39.816000,fam,pit,2
0,BdUV4B,2021-08-11 12:38:06.493,fam-pit,2021-08-11 12:39:51.013,2021-08-11 12:40:36.095,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,0 days 00:01:44.520000,0 days 00:02:29.602000,fam,pit,3
0,BdUV4B,2021-08-11 12:38:06.493,fam-pit,2021-08-11 12:40:40.726,2021-08-11 12:40:57.615,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,0 days 00:02:34.233000,0 days 00:02:51.122000,fam,pit,4
0,BdUV4B,2021-08-11 12:38:06.493,fam-pit-repeat-1,2021-08-11 12:41:08.581,2021-08-11 12:41:53.659,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,0 days 00:03:02.088000,0 days 00:03:47.166000,fam,pit-repeat-1,5
0,BdUV4B,2021-08-11 12:38:06.493,fam-pit,2021-08-11 12:41:58.328,2021-08-11 12:42:07.515,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,0 days 00:03:51.835000,0 days 00:04:01.022000,fam,pit,6
0,BdUV4B,2021-08-11 12:38:06.493,fam-pit,2021-08-11 12:42:12.094,2021-08-11 12:42:37.064,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,0 days 00:04:05.601000,0 days 00:04:30.571000,fam,pit,7
0,BdUV4B,2021-08-11 12:38:06.493,fam-pit,2021-08-11 12:42:41.678,2021-08-11 12:42:54.978,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,0 days 00:04:35.185000,0 days 00:04:48.485000,fam,pit,8
0,BdUV4B,2021-08-11 12:38:06.493,testB-pit,2021-08-11 12:42:57.486,2021-08-11 12:43:16.051,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,0 days 00:04:50.993000,0 days 00:05:09.558000,testB,pit,9
0,BdUV4B,2021-08-11 12:38:06.493,testA-pit,2021-08-11 12:43:18.089,2021-08-11 12:43:30.357,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,0 days 00:05:11.596000,0 days 00:05:23.864000,testA,pit,10
0,cCTcCV,2021-08-11 16:38:06.501,fam-pit,2021-08-11 16:38:12.664,2021-08-11 16:38:39.927,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,0 days 00:00:06.163000,0 days 00:00:33.426000,fam,pit,1
0,cCTcCV,2021-08-11 16:38:06.501,fam-pit,2021-08-11 16:38:44.892,2021-08-11 16:39:30.032,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,0 days 00:00:38.391000,0 days 00:01:23.531000,fam,pit,2
0,cCTcCV,2021-08-11 16:38:06.501,fam-pit,2021-08-11 16:39:35.144,2021-08-11 16:39:57.052,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,0 days 00:01:28.643000,0 days 00:01:50.551000,fam,pit,3
0,cCTcCV,2021-08-11 16:38:06.501,fam-pit,2021-08-11 16:40:01.999,2021-08-11 16:40:16.834,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,0 days 00:01:55.498000,0 days 00:02:10.333000,fam,pit,4
0,cCTcCV,2021-08-11 16:38:06.501,fam-pit,2021-08-11 16:40:21.831,2021-08-11 16:40:28.807,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,0 days 00:02:15.330000,0 days 00:02:22.306000,fam,pit,5
0,cCTcCV,2021-08-11 16:38:06.501,fam-pit,2021-08-11 16:40:33.685,2021-08-11 16:40:39.674,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,0 days 00:02:27.184000,0 days 00:02:33.173000,fam,pit,6
0,cCTcCV,2021-08-11 16:38:06.501,fam-pit,2021-08-11 16:40:44.676,2021-08-11 16:40:52.246,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,0 days 00:02:38.175000,0 days 00:02:45.745000,fam,pit,7
0,cCTcCV,2021-08-11 16:38:06.501,testB-pit,2021-08-11 16:40:54.931,2021-08-11 16:41:03.935,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,0 days 00:02:48.430000,0 days 00:02:57.434000,testB,pit,8
0,cCTcCV,2021-08-11 16:38:06.501,testA-pit,2021-08-11 16:41:06.254,2021-08-11 16:41:15.430,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,0 days 00:02:59.753000,0 days 00:03:08.929000,testA,pit,9
0,2K3GFU,2021-08-11 22:55:58.290,fam-barrier-jump,2021-08-11 22:56:03.492,2021-08-11 22:56:37.723,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,0 days 00:00:05.202000,0 days 00:00:39.433000,fam,barrier-jump,1
0,2K3GFU,2021-08-11 22:55:58.290,testA-barrier-jump,2021-08-11 22:56:40.137,2021-08-11 22:57:25.185,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,0 days 00:00:41.847000,0 days 00:01:26.895000,testA,barrier-jump,2
0,2K3GFU,2021-08-11 22:55:58.290,fam-pit,2021-08-11 22:57:30.027,2021-08-11 22:58:01.005,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,0 days 00:01:31.737000,0 days 00:02:02.715000,fam,pit,3
0,2K3GFU,2021-08-11 22:55:58.290,testB-pit,2021-08-11 22:58:03.222,2021-08-11 22:58:48.263,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,0 days 00:02:04.932000,0 days 00:02:49.973000,testB,pit,4
0,2K3GFU,2021-08-11 22:55:58.290,fam-barrier-around,2021-08-11 22:59:07.049,2021-08-11 22:59:44.988,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,0 days 00:03:08.759000,0 days 00:03:46.698000,fam,barrier-around,5
0,2K3GFU,2021-08-11 22:55:58.290,testB-barrier-around,2021-08-11 22:59:47.164,2021-08-11 23:00:32.215,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,0 days 00:03:48.874000,0 days 00:04:33.925000,testB,barrier-around,6
0,2K3GFU,2021-08-11 22:55:58.290,fam-pit-bridge,2021-08-11 23:00:37.139,2021-08-11 23:01:06.922,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,0 days 00:04:38.849000,0 days 00:05:08.632000,fam,pit-bridge,7
