,child_name,same_num_trials,annotator,manual_trial_onset,manual_trial_offset,manual_trial_ordinal,trial_length,lookit_onset,lookit_offset,lookit_trial_length,lookit_trial_length_diff,lookit_onset_diff,lookit_offset_diff
0,W7ZXCP,True,AW,6732.0,38081.0,2.0,31349.0,5419.000000000001,35198.0,29779.0,-1570.0,-1312.999999999999,-2883.0
1,W7ZXCP,True,AW,38082.0,85502.0,3.0,47420.0,37996.0,81859.00000000001,43863.000000000015,-3556.9999999999854,-86.0,-3642.9999999999854
2,W7ZXCP,True,AW,90387.0,128897.0,5.0,38510.0,87112.00000000001,125051.0,37938.999999999985,-571.0000000000146,-3274.9999999999854,-3846.0
3,W7ZXCP,True,AW,128898.0,180542.0,6.0,51644.0,127603.00000000001,172652.00000000003,45049.000000000015,-6594.999999999985,-1294.9999999999854,-7889.999999999971
4,W7ZXCP,True,AW,185328.0,217304.0,8.0,31976.0,182233.0,213227.0,30994.0,-982.0,-3095.0,-4077.0
5,W7ZXCP,True,AW,217305.0,264461.0,9.0,47156.0,215791.00000000003,260849.0,45057.99999999997,-2098.000000000029,-1513.999999999971,-3612.0
6,W7ZXCP,True,AW,269016.0,303236.0,11.0,34220.0,265988.0,298459.0,32471.0,-1749.0,-3028.0,-4777.0
7,W7ZXCP,True,AW,303237.0,350558.0,12.0,47321.0,301390.00000000006,346447.0,45056.99999999994,-2264.000000000058,-1846.9999999999418,-4111.0
0,QG2TTS,True,GS,5304.0,51612.0,0.0,46308.0,5236.000000000001,50296.00000000001,45060.00000000001,-1247.9999999999927,-67.99999999999909,-1315.9999999999927
1,QG2TTS,True,GS,55964.0,101456.0,1.0,45492.0,55123.00000000001,100190.00000000001,45067.00000000001,-424.9999999999927,-840.9999999999927,-1265.9999999999854
2,QG2TTS,True,GS,105468.0,140556.0,2.0,35088.0,105057.0,139168.0,34111.0,-977.0,-411.0,-1388.0
3,QG2TTS,True,GS,144296.0,176936.0,3.0,32640.0,144007.0,175696.0,31689.0,-951.0,-289.0,-1240.0
4,QG2TTS,True,GS,180846.0,202198.0,4.0,21352.0,180586.0,201174.0,20588.0,-764.0,-260.0,-1024.0
5,QG2TTS,True,GS,206040.0,246058.0,5.0,40018.0,205873.00000000003,245074.0,39200.99999999997,-817.0000000000291,-166.9999999999709,-984.0
6,QG2TTS,True,GS,250104.0,279100.0,6.0,28996.0,249935.0,278241.00000000006,28306.00000000006,-689.9999999999418,-169.0,-858.9999999999418
7,QG2TTS,True,GS,283050.0,311100.0,7.0,28050.0,283087.00000000006,309869.0,26781.99999999994,-1268.0000000000582,37.00000000005821,-1231.0
8,QG2TTS,True,GS,313684.0,323884.0,8.0,10200.0,312347.00000000006,322853.0,10505.999999999942,305.9999999999418,-1336.9999999999418,-1031.0
9,QG2TTS,True,GS,325992.0,334390.0,9.0,8398.0,325259.0,333465.00000000006,8206.000000000058,-191.9999999999418,-733.0,-924.9999999999418
10,QG2TTS,True,GS,335614.0,346120.0,10.0,10506.0,335626.00000000006,345249.0,9622.999999999942,-883.0000000000582,12.000000000058208,-871.0
11,QG2TTS,True,GS,347548.0,364888.0,11.0,17340.0,347383.00000000006,364169.00000000006,16786.0,-554.0,-164.9999999999418,-718.9999999999418
12,QG2TTS,True,GS,380766.0,387124.0,12.0,6358.0,379303.0,386157.00000000006,6854.000000000058,496.0000000000582,-1463.0,-966.9999999999418
13,QG2TTS,True,GS,388586.0,399801.0,13.0,11215.0,388360.0,399660.0,11300.0,85.0,-226.0,-141.0
0,BMYAFZ,True,GS,8976.0,50447.0,0.0,41471.0,5348.000000000001,47297.00000000001,41949.00000000001,478.0000000000073,-3627.999999999999,-3149.9999999999927
1,BMYAFZ,True,GS,56463.0,95931.0,1.0,39468.0,51949.00000000001,92382.0,40432.99999999999,964.9999999999927,-4513.999999999993,-3549.0
2,BMYAFZ,True,GS,100650.0,127644.0,2.0,26994.0,97315.00000000001,125148.00000000001,27833.0,839.0,-3334.9999999999854,-2495.9999999999854
3,BMYAFZ,True,GS,133650.0,157674.0,3.0,24024.0,129810.0,155088.00000000003,25278.00000000003,1254.000000000029,-3840.0,-2585.999999999971
4,BMYAFZ,True,GS,163614.0,188364.0,4.0,24750.0,160030.0,185801.00000000003,25771.00000000003,1021.0000000000291,-3584.0,-2562.999999999971
5,BMYAFZ,True,GS,194667.0,206547.0,5.0,11880.0,190431.0,204187.0,13756.0,1876.0,-4236.0,-2360.0
6,BMYAFZ,True,GS,210870.0,223674.0,6.0,12804.0,208830.0,220652.00000000003,11822.00000000003,-981.9999999999709,-2040.0,-3021.999999999971
7,BMYAFZ,True,GS,225885.0,234498.0,7.0,8613.0,223279.00000000003,232636.00000000003,9357.0,744.0,-2605.999999999971,-1861.999999999971
8,BMYAFZ,True,GS,237369.0,250371.0,8.0,13002.0,235185.0,246302.00000000003,11117.00000000003,-1884.999999999971,-2184.0,-4068.999999999971
9,BMYAFZ,True,GS,260898.0,276606.0,9.0,15708.0,258571.00000000003,273741.00000000006,15170.00000000003,-537.9999999999709,-2326.999999999971,-2864.999999999942
10,BMYAFZ,True,GS,278157.0,285981.0,10.0,7824.0,275709.0,285971.0,10262.0,2438.0,-2448.0,-10.0
0,cZM66C,True,GS,6625.0,52750.0,0.0,46125.0,6936.000000000001,52279.0,45343.0,-782.0,311.0000000000009,-471.0
1,cZM66C,True,GS,58000.0,103875.0,1.0,45875.0,57551.0,102819.0,45268.0,-607.0,-449.0,-1056.0
