,child,session,trial_num,iCatcher_on(s),iCatcher_off(s)
0,<built-in function id>,,1,2.723,0.096
1,<built-in function id>,,2,14.313,39.337
2,<built-in function id>,,3,21.86,30.659
3,<built-in function id>,,4,30.422,24.517
4,<built-in function id>,,5,21.279,31.513
5,<built-in function id>,,6,29.159,25.845
6,<built-in function id>,,7,11.527,13.366
7,<built-in function id>,,8,28.528,28.491
8,<built-in function id>,,9,15.362,39.991
9,<built-in function id>,,10,2.613,51.526
10,52WQ22,,1,2.723,0.096
11,52WQ22,,2,14.313,39.337
12,52WQ22,,3,21.86,30.659
13,52WQ22,,4,30.422,24.517
14,52WQ22,,5,21.279,31.513
15,52WQ22,,6,29.159,25.845
16,52WQ22,,7,11.527,13.366
17,52WQ22,,8,28.528,28.491
18,52WQ22,,9,15.362,39.991
19,52WQ22,,10,2.613,51.526
20,5SVSMJ,,1,59.986,0.0
21,5SVSMJ,,2,59.984,0.0
22,5SVSMJ,,3,58.003,1.344
23,5SVSMJ,,4,58.368,0.271
24,5SVSMJ,,5,25.104,26.292
25,5SVSMJ,,6,14.078,28.447
26,5SVSMJ,,7,4.945,1.871
27,5SVSMJ,,8,4.544,0.656
28,5SVSMJ,,9,5.6,24.846
29,5SVSMJ,,10,11.632,16.817
30,AX3QQJ,,1,20.668,9.594
31,AX3QQJ,,2,18.188,6.604
32,AX3QQJ,,3,3.334,5.404
33,AX3QQJ,,4,7.83,4.003
34,AX3QQJ,,5,5.515,3.337
35,AX3QQJ,,6,15.99,9.692
36,AX3QQJ,,7,7.962,5.817
37,AX3QQJ,,8,6.059,9.711
38,AX3QQJ,,9,5.848,3.712
39,B4PKYH,,1,44.826,13.199
40,B4PKYH,,2,7.222,6.431
41,B4PKYH,,3,20.347,4.93
42,B4PKYH,,4,34.85,5.261
43,B4PKYH,,5,11.357,3.401
44,B4PKYH,,6,5.202,2.969
45,B4PKYH,,7,1.933,2.537
46,B4PKYH,,8,5.762,3.482
47,B4PKYH,,9,7.104,2.898
48,B4PKYH,,10,9.29,3.437
49,BUFC2D,,1,18.665,8.698
50,BUFC2D,,2,15.632,7.398
51,BUFC2D,,3,20.815,6.801
52,BUFC2D,,4,51.502,6.321
53,BUFC2D,,5,33.335,21.415
54,BUFC2D,,6,8.536,5.426
55,BUFC2D,,7,23.812,18.118
56,BUFC2D,,8,5.682,8.485
57,BUFC2D,,9,9.825,13.94
58,BUFC2D,,10,2.047,7.943
